"Title","Developer(s)","Release date","","","Options","Ref."
"Marvel Super Hero Squad: Comic Combat","THQ","Unreleased","November 15, 2011","November 15, 2011","","[citation needed]"
"Marvel Super Hero Squad: The Infinity Gauntlet","THQ","Unreleased","November 19, 2010","November 19, 2010","","[citation needed]"
"Marvel: Ultimate Alliance","Raven Software","May 17, 2007","March 23, 2007","November 17, 2006","","[138]"
"Marvel: Ultimate Alliance 2","Vicarious Visions","Unreleased","September 25, 2009","September 15, 2009","","[139]"
"Marvel vs. Capcom 3: Fate of Two Worlds","Capcom","February 17, 2011","February 18, 2011","February 15, 2011","","[140]"
"Marvel vs. Capcom 2","Backbone Entertainment","August 13, 2009","August 13, 2009","August 13, 2009","","[141]"
"Marvel vs. Capcom Origins (Marvel Super Heroes, Marvel vs. Capcom: Clash of Super Heroes)","Capcom","Unreleased","October 10, 2012","September 25, 2012","",""
"Masquerade: The Baubles of Doom","Big Ant Studios","Unreleased","April 20, 2016","April 19, 2016","",""
"Mass Effect","BioWare / Electronic Arts","December 4, 2012","December 4, 2012","December 4, 2012","","[142]"
"Mass Effect 2","BioWare / Electronic Arts","June 23, 2011","January 21, 2011","January 18, 2011","","[143]"
"Mass Effect 3","BioWare / Electronic Arts","March 15, 2012","March 9, 2012","March 6, 2012","","[144]"
"Master Reboot","Wales Interactive","Unreleased","March 5, 2014","March 4, 2014","",""
"Matt Hazard: Blood Bath and Beyond","Vicious Cycle Software","February 18, 2010","January 7, 2010","January 7, 2010","",""
"Max & the Magic Marker: Gold Edition","Press Play","Unreleased","September 28, 2011","November 1, 2011","",""
"Max Payne 3","Rockstar Vancouver","May 18, 2012","May 18, 2012","May 15, 2012","","[145]"
"Mayhem","Left Field Productions","Unreleased","Unreleased","March 25, 2011","","[citation needed]"
"Medal of Honor","EA Los Angeles / EA Digital Illusions CE","Unreleased","October 14, 2010","October 12, 2010","","[146]"
"Medal of Honor: Airborne","EA Los Angeles","December 20, 2007","December 12, 2007","November 19, 2007","","[147]"
"Medal of Honor: Frontline","EA Los Angeles","Unreleased","October 15, 2010","October 15, 2010","","[148]"
"Medal of Honor: Warfighter","EA Los Angeles","October 25, 2012","October 26, 2012","November 15, 2012","","[149]"
"Medieval Moves: Deadmund's Quest","Zindagi Games","Unreleased","November 11, 2011","November 11, 2011","3D  M","[citation needed][150]"
"Mega Man 9","Inti Creates","June 24, 2009","September 25, 2008","September 25, 2008","","[151]"
"Mega Man 10","Inti Creates","March 9, 2010","March 11, 2010","March 11, 2010","",""
"Megamind: Ultimate Showdown","THQ Australia","Unreleased","November 2, 2010","November 2, 2010","","[152]"
"Megazone 23: Aoi Garland","Compile Heart","September 13, 2007","Unreleased","Unreleased","","[153]"
"Meikyuu Touro Legasista","Nippon Ichi Software","March 15, 2012","Unreleased","Unreleased","","[154]"
"Memories Off: Yubikiri no Kioku","5pb.","June 27, 2013","Unreleased","Unreleased","","[155]"
"Memories Off 6 Complete","5pb.","June 27, 2013","Unreleased","Unreleased","","[156]"
"Men in Black: Alien Crisis","Activision","Unreleased","May 22, 2012","May 22, 2012","","[citation needed]"
"Mercenaries 2: World in Flames","Pandemic Studios","November 30, 2008","September 5, 2008","August 31, 2008","","[157]"
"Mercia: Fractured Realms","Lockwood Publishing","Unreleased","Unreleased","August 31, 2012","","[158]"
"Mercury Hg","UTV Ignition Entertainment","Unreleased","September 28, 2011","September 27, 2011","",""
"Mesmerize: Distort (app)","London Studio, Playlogic Entertainment","December 20, 2007","December 20, 2007","December 20, 2007","E",""
"Mesmerize: Trace (app)","London Studio, Playlogic Entertainment","December 20, 2007","December 20, 2007","December 20, 2007","E",""
"Metal Gear Online","Kojima Productions","July 17, 2008","Unreleased","Unreleased","","[159]"
"Metal Gear Rising: Revengeance","PlatinumGames","February 21, 2013","February 21, 2013","February 19, 2013","","[160]"
"Metal Gear Solid 2: Sons of Liberty HD Edition","Kojima Productions","December 8, 2011","August 21, 2012","August 21, 2012","","[161]"
"Metal Gear Solid 3: Snake Eater HD Edition","Kojima Productions","December 8, 2011","August 21, 2012","August 21, 2012","","[162]"
"Metal Gear Solid 4: Guns of the Patriots","Kojima Productions","June 12, 2008","June 12, 2008","June 12, 2008","","[163]"
"Metal Gear Solid V: Ground Zeroes","Kojima Productions","March 20, 2014","March 20, 2014","March 18, 2014","","[164]"
