platform;slug;name;released;background_image;genre
Xbox One;warhammer-chaosbane;Warhammer: Chaosbane;31/05/2019;https://media.rawg.io/media/games/382/3825ef8a6143ac0622758d6e0f5ae46e.jpg;Adventure, Action, RPG
PlayStation 4;warhammer-chaosbane;Warhammer: Chaosbane;31/05/2019;https://media.rawg.io/media/games/382/3825ef8a6143ac0622758d6e0f5ae46e.jpg;Adventure, Action, RPG
Xbox Series S/X;warhammer-chaosbane;Warhammer: Chaosbane;31/05/2019;https://media.rawg.io/media/games/382/3825ef8a6143ac0622758d6e0f5ae46e.jpg;Adventure, Action, RPG
PC;warhammer-end-times-vermintide;Warhammer: End Times - Vermintide;23/10/2015;https://media.rawg.io/media/games/1dc/1dc45435c09f844b24eb96cd66eb6325.jpg;Indie, Action
Xbox One;warhammer-end-times-vermintide;Warhammer: End Times - Vermintide;23/10/2015;https://media.rawg.io/media/games/1dc/1dc45435c09f844b24eb96cd66eb6325.jpg;Indie, Action
PlayStation 4;warhammer-end-times-vermintide;Warhammer: End Times - Vermintide;23/10/2015;https://media.rawg.io/media/games/1dc/1dc45435c09f844b24eb96cd66eb6325.jpg;Indie, Action
PC;warhammer-vermintide-2;Warhammer: Vermintide 2;08/03/2018;https://media.rawg.io/media/games/5be/5bec14622f6faf804a592176577c1347.jpg;Indie, Action
Xbox One;warhammer-vermintide-2;Warhammer: Vermintide 2;08/03/2018;https://media.rawg.io/media/games/5be/5bec14622f6faf804a592176577c1347.jpg;Indie, Action
PlayStation 4;warhammer-vermintide-2;Warhammer: Vermintide 2;08/03/2018;https://media.rawg.io/media/games/5be/5bec14622f6faf804a592176577c1347.jpg;Indie, Action
PC;warlock-master-of-the-arcane;Warlock - Master of the Arcane;08/05/2012;https://media.rawg.io/media/screenshots/d3f/d3f90322b1e759f2cb071d64a9731406.jpg;Strategy
PC;warsaw;WARSAW;01/10/2019;https://media.rawg.io/media/screenshots/92e/92e1e8dd0b1fd2071d88c91590b72b3b.jpg;Strategy, Indie, RPG
PlayStation 4;warsaw;WARSAW;01/10/2019;https://media.rawg.io/media/screenshots/92e/92e1e8dd0b1fd2071d88c91590b72b3b.jpg;Strategy, Indie, RPG
PC;warsow;Warsow;07/10/2012;https://media.rawg.io/media/screenshots/6b3/6b36ee5fc04694742802d6bc00ac3ef6_ZwonMkK.jpg;Shooter
macOS;warsow;Warsow;07/10/2012;https://media.rawg.io/media/screenshots/6b3/6b36ee5fc04694742802d6bc00ac3ef6_ZwonMkK.jpg;Shooter
Linux;warsow;Warsow;07/10/2012;https://media.rawg.io/media/screenshots/6b3/6b36ee5fc04694742802d6bc00ac3ef6_ZwonMkK.jpg;Shooter
PC;wasteland;Wasteland;01/01/1988;https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg;Indie, Strategy, Adventure, RPG
iOS;wasteland;Wasteland;01/01/1988;https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg;Indie, Strategy, Adventure, RPG
macOS;wasteland;Wasteland;01/01/1988;https://media.rawg.io/media/screenshots/5ad/5adb88d1c6b9fc4fde1f372c9b6e451b.jpg;Indie, Strategy, Adventure, RPG
