platform;slug;name;released;background_image;genre
Wii;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
Neo Geo;metal-slug-3;METAL SLUG 3;2000-03-23;https://media.rawg.io/media/screenshots/df1/df1a27300bf1e4696734b437d81b0fcf.jpg;Casual, Arcade, Action, Fighting
PC;dirt-5;DiRT 5;2020-11-05;https://media.rawg.io/media/games/9c7/9c7dd09596246993169b356d7c1facf0.jpg;Racing, Arcade
PlayStation 5;dirt-5;DiRT 5;2020-11-05;https://media.rawg.io/media/games/9c7/9c7dd09596246993169b356d7c1facf0.jpg;Racing, Arcade
Xbox One;dirt-5;DiRT 5;2020-11-05;https://media.rawg.io/media/games/9c7/9c7dd09596246993169b356d7c1facf0.jpg;Racing, Arcade
PlayStation 4;dirt-5;DiRT 5;2020-11-05;https://media.rawg.io/media/games/9c7/9c7dd09596246993169b356d7c1facf0.jpg;Racing, Arcade
Xbox Series S/X;dirt-5;DiRT 5;2020-11-05;https://media.rawg.io/media/games/9c7/9c7dd09596246993169b356d7c1facf0.jpg;Racing, Arcade
PC;pathologic;Pathologic 2;2019-05-22;https://media.rawg.io/media/games/c4a/c4a948e3d1ab733f21641844c6df3e43.jpg;Indie, Adventure, RPG
Xbox One;pathologic;Pathologic 2;2019-05-22;https://media.rawg.io/media/games/c4a/c4a948e3d1ab733f21641844c6df3e43.jpg;Indie, Adventure, RPG
PlayStation 4;pathologic;Pathologic 2;2019-05-22;https://media.rawg.io/media/games/c4a/c4a948e3d1ab733f21641844c6df3e43.jpg;Indie, Adventure, RPG
PC;mutant-year-zero-road-to-eden;Mutant Year Zero: Road to Eden;2018-12-03;https://media.rawg.io/media/games/fcc/fccc143096ea188a7fb7daab52d26e35.jpg;Strategy, Adventure, RPG
Xbox One;mutant-year-zero-road-to-eden;Mutant Year Zero: Road to Eden;2018-12-03;https://media.rawg.io/media/games/fcc/fccc143096ea188a7fb7daab52d26e35.jpg;Strategy, Adventure, RPG
PlayStation 4;mutant-year-zero-road-to-eden;Mutant Year Zero: Road to Eden;2018-12-03;https://media.rawg.io/media/games/fcc/fccc143096ea188a7fb7daab52d26e35.jpg;Strategy, Adventure, RPG
Nintendo Switch;mutant-year-zero-road-to-eden;Mutant Year Zero: Road to Eden;2018-12-03;https://media.rawg.io/media/games/fcc/fccc143096ea188a7fb7daab52d26e35.jpg;Strategy, Adventure, RPG
PC;steel-rats;Steel Rats;2018-11-06;https://media.rawg.io/media/games/43c/43cfdb7fdc48d99b4a4c2525b411daf8.jpg;Racing, Platformer, Action, Simulation
Xbox One;steel-rats;Steel Rats;2018-11-06;https://media.rawg.io/media/games/43c/43cfdb7fdc48d99b4a4c2525b411daf8.jpg;Racing, Platformer, Action, Simulation
PlayStation 4;steel-rats;Steel Rats;2018-11-06;https://media.rawg.io/media/games/43c/43cfdb7fdc48d99b4a4c2525b411daf8.jpg;Racing, Platformer, Action, Simulation
PC;prototype-2;Prototype 2;2012-04-24;https://media.rawg.io/media/games/445/44507fdd60a8ec02b1c3c64a293ca754.jpg;Adventure, Action
Xbox One;prototype-2;Prototype 2;2012-04-24;https://media.rawg.io/media/games/445/44507fdd60a8ec02b1c3c64a293ca754.jpg;Adventure, Action
PlayStation 4;prototype-2;Prototype 2;2012-04-24;https://media.rawg.io/media/games/445/44507fdd60a8ec02b1c3c64a293ca754.jpg;Adventure, Action
Xbox 360;prototype-2;Prototype 2;2012-04-24;https://media.rawg.io/media/games/445/44507fdd60a8ec02b1c3c64a293ca754.jpg;Adventure, Action
PlayStation 3;prototype-2;Prototype 2;2012-04-24;https://media.rawg.io/media/games/445/44507fdd60a8ec02b1c3c64a293ca754.jpg;Adventure, Action
PC;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
PlayStation 5;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
PlayStation 4;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
Xbox One;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
Xbox Series S/X;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
Nintendo Switch;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
iOS;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
Android;wreckfest;Wreckfest;2018-06-13;https://media.rawg.io/media/games/ff2/ff2315fb895502efcbd40f1e5f37c170.jpg;Racing, Arcade
PC;streets-of-rage-4;Streets of Rage 4;2020-04-30;https://media.rawg.io/media/games/e56/e56d74b0a1072662eea7c1a194363884.jpg;Indie, Adventure, Action, Fighting
Xbox One;streets-of-rage-4;Streets of Rage 4;2020-04-30;https://media.rawg.io/media/games/e56/e56d74b0a1072662eea7c1a194363884.jpg;Indie, Adventure, Action, Fighting
PlayStation 4;streets-of-rage-4;Streets of Rage 4;2020-04-30;https://media.rawg.io/media/games/e56/e56d74b0a1072662eea7c1a194363884.jpg;Indie, Adventure, Action, Fighting
Nintendo Switch;streets-of-rage-4;Streets of Rage 4;2020-04-30;https://media.rawg.io/media/games/e56/e56d74b0a1072662eea7c1a194363884.jpg;Indie, Adventure, Action, Fighting
iOS;streets-of-rage-4;Streets of Rage 4;2020-04-30;https://media.rawg.io/media/games/e56/e56d74b0a1072662eea7c1a194363884.jpg;Indie, Adventure, Action, Fighting
PC;night-in-the-woods;Night in the Woods;2017-02-21;https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg;Adventure
Xbox One;night-in-the-woods;Night in the Woods;2017-02-21;https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg;Adventure
PlayStation 4;night-in-the-woods;Night in the Woods;2017-02-21;https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg;Adventure
Nintendo Switch;night-in-the-woods;Night in the Woods;2017-02-21;https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg;Adventure
iOS;night-in-the-woods;Night in the Woods;2017-02-21;https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg;Adventure
macOS;night-in-the-woods;Night in the Woods;2017-02-21;https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg;Adventure
Linux;night-in-the-woods;Night in the Woods;2017-02-21;https://media.rawg.io/media/games/b0a/b0a370527fea0e824225269d4a8797db.jpg;Adventure
PC;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
PlayStation 4;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
Xbox One;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
